name,price,address,access,area,layout,yyyymm_construction,url
〇素敵な住環境〇ライオンズマンションマキシム浄水通り…,3000万円,福岡県福岡市中央区薬院４,地下鉄七隈線「薬院大通」徒歩4分,83.83m2（25.35坪）（壁芯）,2LDK,1981年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76444240/
オープンレジデンシア博多住吉,3150万円,福岡県福岡市博多区住吉２,地下鉄七隈線「櫛田神社前」徒歩8分,34m2（壁芯）,1LDK,2023年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_77023628/
ロイヤルマンション別府,3190万円,福岡県福岡市城南区別府３-1-11,地下鉄七隈線「別府」徒歩4分,63m2,2LDK+S（納戸）,1986年4月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_77130947/
オープンレジデンシア薬院南,3200万円,福岡県福岡市中央区平尾３,地下鉄七隈線「薬院」徒歩9分,34.54m2（10.44坪）（壁芯）,1LDK,2022年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77160455/
オープンレジデンシア薬院南,3300万円,福岡県福岡市中央区平尾３,西鉄天神大牟田線「薬院」徒歩8分,34.54m2（10.44坪）（壁芯）,1LDK,2022年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76499383/
ロワールマンション西公園3　　　　　　　　　　　　　…,3380万円,福岡県福岡市中央区荒戸２,地下鉄空港線「大濠公園」徒歩7分,59.3m2（壁芯）,3LDK,1986年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77104386/
朝日プラザ大濠,3490万円,福岡県福岡市中央区草香江２,地下鉄七隈線「六本松」徒歩5分,69.12m2（20.90坪）（壁芯）,3LDK,1983年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76712566/
ピュアドーム博多リバーサイド,3498万円,福岡県福岡市博多区美野島１-26－1,地下鉄七隈線「渡辺通」徒歩10分,54.81m2,2DK+S（納戸）,2006年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_77157332/
日商岩井レジオン薬院,3498万円,福岡県福岡市中央区薬院２-12-12,地下鉄七隈線「薬院大通」徒歩6分,54.41m2,2LDK,1999年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76903690/
フアミール別府,3499万円,福岡県福岡市城南区別府２,地下鉄七隈線「別府」徒歩3分,81m2（24.50坪）（壁芯）,3LDK,1983年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_76747931/
アトリーチェ西新,3588万円,福岡県福岡市早良区西新１,地下鉄空港線「西新」徒歩3分,52.86m2（壁芯）,2LDK,1999年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_76307659/
オープンレジデンシア博多住吉,3590万円,福岡県福岡市博多区住吉２,ＪＲ鹿児島本線「博多」徒歩9分,34m2（壁芯）,1LDK,2023年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_75807654/
南薬院パークマンション,3590万円,福岡県福岡市中央区薬院２,地下鉄七隈線「薬院大通」徒歩4分,65.1m2（壁芯）,3LDK,1985年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77015603/
