id,name,price,age,line,station_name,minutes,layout,area,address,url,lat,lon
20928374,コアマンション城南ネクステージ,4490,22,地下鉄七隈線,六本松,14,3LDK,77.02,福岡県福岡市城南区田島１-4-8,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_20928374/,,
20929098,Asobi＋　アーティックス大濠,7490,22,地下鉄七隈線,六本松,12,3LDK,85.8,福岡県福岡市中央区鳥飼１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20929098/,,
20930960,グランド・サンリヤン大濠二丁目,9800,24,地下鉄空港線,唐人町,7,3LDK,91.19,福岡県福岡市中央区大濠２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20930960/,,
20932930,コモダス天神,6280,29,地下鉄七隈線,薬院大通,5,2LDK,72.24,福岡県福岡市中央区今泉２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20932930/,,
20933103,ロマネスク大濠公園,3980,41,地下鉄空港線,唐人町,6,2LDK,57.11,福岡県福岡市中央区大濠２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20933103/,,
20933104,ライオンズヒルズ桜坂,8980,40,地下鉄七隈線,桜坂,3,3LDK,133.27,福岡県福岡市中央区桜坂３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20933104/,,
20933155,ライオンズマンション大濠パークサイド,10700,23,地下鉄空港線,唐人町,11,3LDK+S（納戸）,121.08,福岡県福岡市中央区鳥飼２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20933155/,,
20934489,グランドメゾン福岡Ｔｈｅ　Ｃｅｎｔｒａｌ　Ｌｕｘｅ,7300,1,西鉄天神大牟田線,薬院,3,1LDK,51.35,福岡県福岡市中央区渡辺通２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20934489/,,
20936185,JGMコンシャスブルー浄水館,8780,25,地下鉄七隈線,薬院大通,5,3LDK+S（納戸）,85.57,福岡県福岡市中央区薬院４,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20936185/,,
20944843,ダイアパレス大名ガーデン,3999,39,地下鉄空港線,赤坂,5,1LDK+S（納戸）,56.0,福岡県福岡市中央区大名１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20944843/,,
20945241,アーバンパレス大濠,4570,34,地下鉄空港線,大濠公園,4,2DK,53.88,福岡県福岡市中央区荒戸２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20945241/,,
