id,name,price,age,line,station_name,minutes,layout,area,address,url,lat,lon
20005198,グランドメゾン大濠公園THE CLASS,12000,2,地下鉄空港線,大濠公園,4,2LDK,60.35,福岡県福岡市中央区荒戸２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20005198/,,
20010345,赤坂エクセル,3399,52,地下鉄七隈線,桜坂,13,2LDK,79.5,福岡県福岡市中央区赤坂３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20010345/,,
20014031,ＭＪＲ博多ザ・レジデンス,8100,1,ＪＲ鹿児島本線,博多,13,3LDK,70.49,福岡県福岡市博多区美野島１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_20014031/,,
20024543,グランドメゾン福岡The Central Luxe,6780,1,西鉄天神大牟田線,薬院,2,1LDK,44.25,福岡県福岡市中央区渡辺通２-7-11,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20024543/,,
20031460,サーパス桜坂,4900,26,地下鉄七隈線,桜坂,5,3LDK,71.63,福岡県福岡市中央区桜坂３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20031460/,,
20032764,CLUB THE.大濠二丁目,12780,7,地下鉄空港線,唐人町,7,2LDK,91.07,福岡県福岡市中央区大濠２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20032764/,,
20033456,リファレンス天神南,4299,24,地下鉄七隈線,渡辺通,13,3LDK,65.32,福岡県福岡市中央区清川２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20033456/,,
20040622,エクセレンス谷,2490,47,地下鉄七隈線,六本松,6,2LDK,57.23,福岡県福岡市中央区谷１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20040622/,,
20043788,グランドメゾン西新テラス,10780,12,地下鉄空港線,西新,7,3LDK,96.41,福岡県福岡市早良区城西１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_20043788/,,
20044338,藤和城西コープ,1998,52,地下鉄七隈線,別府,8,2LDK,52.82,福岡県福岡市城南区別府４,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_20044338/,,
