name,price,address,access,area,layout,yyyymm_construction,url,station_name,line,minutes,yyyymm,age
シティライフ美野島,2380,福岡県福岡市博多区美野島１-９－１５,ＪＲ鹿児島本線「博多」徒歩18分,58.33,1LDK,1985年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74167432/,博多,ＪＲ鹿児島本線,18,1985-03-01,39
アーバンパレス平和,2380,福岡県福岡市南区平和２,地下鉄七隈線「薬院大通」徒歩25分,72.6,3LDK,1995年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashiminami/nc_75933906/,薬院大通,地下鉄七隈線,25,1995-05-01,29
パークハイツ平尾山荘　31号棟,2380,福岡県福岡市中央区平尾５,西鉄天神大牟田線「薬院」徒歩23分,79.44,3LDK,1981年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75793291/,薬院,西鉄天神大牟田線,23,1981-07-01,43
ロマネスク大名,2380,福岡県福岡市中央区大名１,地下鉄空港線「赤坂」徒歩7分,57.96,1LDK+S（納戸）,1984年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75959800/,赤坂,地下鉄空港線,7,1984-07-01,40
サヴォイブロードストリート,2380,福岡県福岡市博多区博多駅前３,地下鉄空港線「博多」徒歩10分,35.44,1LDK,2007年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74189328/,博多,地下鉄空港線,10,2007-09-01,17
プレスタイル博多ＥＡＳＴ,2380,福岡県福岡市博多区堅粕３,地下鉄空港線「祇園」徒歩18分,41.95,2LDK,2009年4月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_75905374/,祇園,地下鉄空港線,18,2009-04-01,15
アーバンパレス平和,2380,福岡県福岡市南区平和２,地下鉄七隈線「薬院大通」徒歩25分,72.6,3LDK,1995年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashiminami/nc_75742820/,薬院大通,地下鉄七隈線,25,1995-05-01,29
イトーピア博多マンション,2380,福岡県福岡市博多区博多駅南２,ＪＲ鹿児島本線「博多」徒歩13分,70.33,3LDK,1981年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_76104333/,博多,ＪＲ鹿児島本線,13,1981-01-01,43
グリーンマンション今泉,2380,福岡県福岡市中央区今泉２,地下鉄七隈線「天神南」徒歩9分,90.27,3LDK,1980年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75529860/,天神南,地下鉄七隈線,9,1980-10-01,44
プレスタイル博多ＥＡＳＴ,2380,福岡県福岡市博多区堅粕３,ＪＲ博多南線「博多」徒歩13分,41.95,2LDK,2009年4月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_76125269/,博多,ＪＲ博多南線,13,2009-04-01,15
グリーンマンション姪浜,2390,福岡県福岡市西区姪の浜１,地下鉄空港線「藤崎」徒歩26分,69.66,3LDK,1982年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_74577673/,藤崎,地下鉄空港線,26,1982-01-01,42
チサンマンシヨン西公園,2390,福岡県福岡市中央区荒戸２,地下鉄空港線「大濠公園」徒歩8分,51.58,2LDK,1984年12月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75722210/,大濠公園,地下鉄空港線,8,1984-12-01,40
ライオンズマンション桜坂,2390,福岡県福岡市中央区桜坂３,地下鉄七隈線「桜坂」徒歩4分,66.56,2LDK,1983年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76215215/,桜坂,地下鉄七隈線,4,1983-09-01,41
ライオンズマンション桜坂,2390,福岡県福岡市中央区桜坂３,地下鉄七隈線「桜坂」徒歩4分,66.56,2LDK,1983年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76232418/,桜坂,地下鉄七隈線,4,1983-09-01,41
シャンボール大濠,2398,福岡県福岡市中央区鳥飼３,地下鉄空港線「西新」徒歩11分,74.88,2LDK,1978年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75780245/,西新,地下鉄空港線,11,1978-08-01,46
エクセレンス谷,2398,福岡県福岡市中央区谷１,地下鉄七隈線「六本松」徒歩6分,66.68,3LDK,1979年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74907776/,六本松,地下鉄七隈線,6,1979-08-01,45
東薬院パークマンション,2430,福岡県福岡市中央区薬院４,地下鉄七隈線「薬院大通」徒歩5分,77.08,2LDK,1986年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75849302/,薬院大通,地下鉄七隈線,5,1986-10-01,38
東薬院パークマンション,2430,福岡県福岡市中央区薬院４,地下鉄七隈線「薬院大通」徒歩6分,77.08,2LDK,1986年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76087168/,薬院大通,地下鉄七隈線,6,1986-10-01,38
ベルヴィル南公園4階,2430,福岡県福岡市中央区小笹５-3－14,地下鉄七隈線「桜坂」徒歩23分,82.04,3LDK,1988年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74890996/,桜坂,地下鉄七隈線,23,1988-03-01,36
警固ハウス,2430,福岡県福岡市中央区警固１,地下鉄七隈線「薬院大通」徒歩8分,69.3,3LDK,1980年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75935654/,薬院大通,地下鉄七隈線,8,1980-02-01,44
コープ野村白金,2450,福岡県福岡市中央区白金１,西鉄天神大牟田線「薬院」徒歩7分,64.54,3LDK,1983年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76011739/,薬院,西鉄天神大牟田線,7,1983-08-01,41
コスモ西公園,2450,福岡県福岡市中央区西公園,地下鉄空港線「大濠公園」徒歩9分,51.72,1LDK,1997年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76018350/,大濠公園,地下鉄空港線,9,1997-09-01,27
コープ野村白金,2450,福岡県福岡市中央区白金１-12-22,西鉄天神大牟田線「薬院」徒歩6分,64.54,3LDK,1983年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76134759/,薬院,西鉄天神大牟田線,6,1983-08-01,41
コープ野村白金,2450,福岡県福岡市中央区白金１,西鉄天神大牟田線「薬院」徒歩6分,64.54,3LDK,1983年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76107423/,薬院,西鉄天神大牟田線,6,1983-08-01,41
コープ野村白金,2450,福岡県福岡市中央区白金１,地下鉄七隈線「薬院」徒歩6分,64.54,3LDK,1983年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76120245/,薬院,地下鉄七隈線,6,1983-08-01,41
コープ野村白金,2450,福岡県福岡市中央区白金１,西鉄天神大牟田線「薬院」徒歩7分,64.54,3LDK,1983年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75952402/,薬院,西鉄天神大牟田線,7,1983-08-01,41
ライオンズマンション西公園第六,2480,福岡県福岡市中央区荒戸１,地下鉄空港線「大濠公園」徒歩6分,60.48,2LDK,1985年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75367465/,大濠公園,地下鉄空港線,6,1985-03-01,39
ライオンズマンション西公園第六,2480,福岡県福岡市中央区荒戸１,地下鉄空港線「大濠公園」徒歩5分,60.48,2LDK,1985年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75345648/,大濠公園,地下鉄空港線,5,1985-03-01,39
ヴェルビュ高宮,2480,福岡県福岡市南区高宮２,地下鉄七隈線「薬院」徒歩22分,99.76,4LDK,1992年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashiminami/nc_74888031/,薬院,地下鉄七隈線,22,1992-02-01,32
ネオハイツ南公園,2480,福岡県福岡市中央区谷２,地下鉄七隈線「桜坂」徒歩12分,78.89,3LDK,1988年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_72566908/,桜坂,地下鉄七隈線,12,1988-02-01,36
ゾンネンハイム大手門,2480,福岡県福岡市中央区大手門２,地下鉄空港線「大濠公園」徒歩7分,66.0,2LDK,1973年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75855318/,大濠公園,地下鉄空港線,7,1973-08-01,51
大濠藤和コープ,2480,福岡県福岡市中央区赤坂３-4-6,地下鉄七隈線「六本松」徒歩10分,70.4,2LDK,1971年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76035718/,六本松,地下鉄七隈線,10,1971-10-01,53
ライオンズマンション西公園第六,2480,福岡県福岡市中央区荒戸１,地下鉄空港線「大濠公園」徒歩7分,60.48,2LDK,1985年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75296996/,大濠公園,地下鉄空港線,7,1985-03-01,39
大濠パークハイツ,2480,福岡県福岡市中央区草香江２,地下鉄七隈線「六本松」徒歩8分,68.12,3LDK,1974年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76099961/,六本松,地下鉄七隈線,8,1974-09-01,50
ライオンズマンション西公園第六,2480,福岡県福岡市中央区荒戸１,地下鉄空港線「大濠公園」徒歩5分,60.48,2LDK,1985年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75966040/,大濠公園,地下鉄空港線,5,1985-03-01,39
ライオンズマンション西公園第6,2480,福岡県福岡市中央区荒戸１-7-14,地下鉄空港線「大濠公園」徒歩5分,60.48,2LDK,1985年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75461287/,大濠公園,地下鉄空港線,5,1985-03-01,39
ヴェルビュ高宮,2480,福岡県福岡市南区高宮２,西鉄天神大牟田線「薬院」徒歩23分,99.76,4LDK,1992年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashiminami/nc_74858807/,薬院,西鉄天神大牟田線,23,1992-02-01,32
ライオンズマンション薬院第5,2480,福岡県福岡市中央区薬院２,地下鉄七隈線「薬院大通」徒歩3分,49.57,1LDK,1982年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74470679/,薬院大通,地下鉄七隈線,3,1982-07-01,42
ヴェルビュ高宮,2480,福岡県福岡市南区高宮２-11-8,地下鉄七隈線「薬院」徒歩23分,99.76,4LDK,1992年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashiminami/nc_75087254/,薬院,地下鉄七隈線,23,1992-02-01,32
秀和舞鶴レジデンス,2480,福岡県福岡市中央区舞鶴１-6-12,地下鉄空港線「天神」徒歩10分,59.31,2LDK,1974年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75998437/,天神,地下鉄空港線,10,1974-05-01,50
ライオンズマンション西公園第六,2480,福岡県福岡市中央区荒戸１,地下鉄空港線「大濠公園」徒歩6分,60.48,2LDK,1985年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75942894/,大濠公園,地下鉄空港線,6,1985-03-01,39
藤和高取ホームズ,2480,福岡県福岡市早良区高取１,地下鉄空港線「藤崎」徒歩5分,43.74,1LDK,1987年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_75817616/,藤崎,地下鉄空港線,5,1987-11-01,37
大濠藤和コープ,2480,福岡県福岡市中央区赤坂３,地下鉄七隈線「六本松」徒歩10分,70.4,2LDK,1971年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76081895/,六本松,地下鉄七隈線,10,1971-10-01,53
ライオンズマンション大濠,2480,福岡県福岡市中央区大濠２,地下鉄空港線「唐人町」徒歩4分,89.91,3LDK+S（納戸）,1978年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76076111/,唐人町,地下鉄空港線,4,1978-07-01,46
大濠公園アーバンライフ,2480,福岡県福岡市中央区大濠１,地下鉄七隈線「六本松」徒歩8分,64.82,2LDK,1969年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76133064/,六本松,地下鉄七隈線,8,1969-11-01,55
パークハイツ桜坂,2480,福岡県福岡市中央区桜坂３,地下鉄七隈線「桜坂」徒歩4分,72.0,1LDK+S（納戸）,1977年6月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76200160/,桜坂,地下鉄七隈線,4,1977-06-01,47
東峰マンション第二西公園,2480,福岡県福岡市中央区荒戸３,地下鉄空港線「大濠公園」徒歩9分,73.55,3LDK,1982年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74551502/,大濠公園,地下鉄空港線,9,1982-02-01,42
大濠藤和コーポ,2480,福岡県福岡市中央区赤坂３,地下鉄七隈線「六本松」徒歩10分,70.4,2LDK,1971年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76017934/,六本松,地下鉄七隈線,10,1971-10-01,53
大濠藤和コーポ,2480,福岡県福岡市中央区赤坂３,地下鉄七隈線「桜坂」徒歩10分,70.4,2LDK,1971年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76052507/,桜坂,地下鉄七隈線,10,1971-10-01,53
高宮パークマンション,2490,福岡県福岡市南区高宮２,西鉄天神大牟田線「薬院」徒歩24分,85.98,4LDK,1978年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashiminami/nc_74532671/,薬院,西鉄天神大牟田線,24,1978-11-01,46
ライオンズマンション西新,2490,福岡県福岡市早良区西新７,地下鉄空港線「藤崎」徒歩4分,66.36,2LDK,1982年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74080570/,藤崎,地下鉄空港線,4,1982-02-01,42
