id,name,price,age,line,station_name,minutes,layout,area,address,url
20000398,エフグラン室見,5380,7,地下鉄空港線,藤崎,6,2LDK,59.49,福岡県福岡市早良区室見２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_20000398/
20003640,ヴェルドミール薬院,2899,46,地下鉄七隈線,薬院大通,6,2LDK,68.26,福岡県福岡市中央区薬院３-12-12,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20003640/
20005198,グランドメゾン大濠公園THE CLASS,12000,2,地下鉄空港線,大濠公園,4,2LDK,60.35,福岡県福岡市中央区荒戸２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20005198/
20010345,赤坂エクセル,3450,52,地下鉄七隈線,桜坂,13,2LDK,79.5,福岡県福岡市中央区赤坂３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20010345/
20011979,ロイヤルアーク大濠公園,16800,25,地下鉄空港線,大濠公園,2,3LDK,124.77,福岡県福岡市中央区大手門１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20011979/
20014031,ＭＪＲ博多ザ・レジデンス,8500,1,ＪＲ鹿児島本線,博多,13,3LDK,70.49,福岡県福岡市博多区美野島１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_20014031/
20020216,朝日プラザ桜坂,3480,40,地下鉄七隈線,桜坂,6,2LDK,67.26,福岡県福岡市中央区谷１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20020216/
20023189,MJR博多ザ・レジデンス,8480,1,地下鉄七隈線,博多,12,2LDK+S（納戸）,70.1,福岡県福岡市博多区美野島１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_20023189/
20024816,グランドメゾン福岡The Central Luxe,11000,1,西鉄天神大牟田線,薬院,2,1LDK,51.35,福岡県福岡市中央区渡辺通２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20024816/
20028481,クリオ渡辺通サザンマークス,5980,2,地下鉄七隈線,渡辺通,14,3LDK,67.0,福岡県福岡市中央区清川３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20028481/
20031460,サーパス桜坂,4900,26,地下鉄七隈線,桜坂,5,3LDK,71.63,福岡県福岡市中央区桜坂３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20031460/
20032764,CLUB THE 大濠二丁目,12780,7,地下鉄空港線,唐人町,7,2LDK,91.07,福岡県福岡市中央区大濠２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20032764/
20033456,リファレンス天神南,4399,24,地下鉄七隈線,渡辺通,13,3LDK,65.32,福岡県福岡市中央区清川２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20033456/
20033645,パーク・サンリヤン博多の森Ⅴ番館,4180,9,地下鉄空港線,福岡空港,12,4LDK,85.36,福岡県糟屋郡志免町別府西２,https://suumo.jp//ms/chuko/fukuoka/sc_kasuyagunshime/nc_20033645/
20036479,グランドメゾン浄水ガーデンシティセントラルフォレスト…,9390,4,地下鉄七隈線,薬院大通,9,2LDK,65.42,福岡県福岡市中央区薬院４-１４番１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20036479/
20040622,エクセレンス谷,2590,47,地下鉄七隈線,六本松,6,2LDK,57.23,福岡県福岡市中央区谷１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20040622/
20043788,グランドメゾン西新テラス,10780,12,地下鉄空港線,西新,7,3LDK,96.41,福岡県福岡市早良区城西１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_20043788/
20044338,藤和城西コープ,1998,52,地下鉄七隈線,別府,8,2LDK,52.82,福岡県福岡市城南区別府４,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_20044338/
20045528,103大稲マンション,2080,51,地下鉄七隈線,薬院大通,1,2LDK,55.62,福岡県福岡市中央区薬院２-4-5,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20045528/
20045615,日商岩井新福陵マンション２号棟,1598,48,地下鉄空港線,藤崎,14,4LDK,83.19,福岡県福岡市早良区荒江３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_20045615/
20052456,103大稲マンション,2080,51,地下鉄七隈線,薬院大通,1,2LDK,55.68,福岡県福岡市中央区薬院２-4-5,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20052456/
20052926,西公園ツインタワー,4630,36,地下鉄空港線,大濠公園,7,3LDK,83.05,福岡県福岡市中央区荒戸２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20052926/
20052927,エクセレンス谷,2590,47,地下鉄七隈線,桜坂,6,2LDK,57.23,福岡県福岡市中央区谷１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20052927/
20054400,グランドメゾン平尾,5600,28,西鉄天神大牟田線,薬院,12,4LDK,89.17,福岡県福岡市中央区平尾２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20054400/
20054950,オープンレジデンシア大濠公園,3850,3,地下鉄空港線,大濠公園,5,1LDK,34.78,福岡県福岡市中央区大手門２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20054950/
20056310,リファレンス天神南,4299,24,地下鉄七隈線,渡辺通,13,3LDK,65.32,福岡県福岡市中央区清川２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20056310/
20059581,コアマンション桜坂プレジオ弐番館,8290,25,地下鉄七隈線,桜坂,4,3LDK+S（納戸）,103.4,福岡県福岡市中央区六本松３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20059581/
20062724,サンライフ六本松,3980,42,地下鉄七隈線,六本松,2,1LDK+S（納戸）,60.02,福岡県福岡市中央区草香江２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20062724/
20062726,藤和平尾山荘ホームズ,6999,29,地下鉄七隈線,薬院大通,15,3LDK,90.68,福岡県福岡市中央区平尾４,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20062726/
20066553,ツインタワー空港通り,3499,32,地下鉄空港線,東比恵,12,3LDK,71.7,福岡県福岡市博多区豊１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_20066553/
20066674,ツインタワー空港通り,3499,32,地下鉄空港線,東比恵,12,3LDK,71.7,福岡県福岡市博多区豊１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_20066674/
20069784,グランドメゾン福岡　Ｔｈｅ　Ｃｅｎｔｒａｌ　Ｌｕｘｅ,6900,1,西鉄天神大牟田線,薬院,3,1LDK,44.25,福岡県福岡市中央区渡辺通２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20069784/
20069809,エトワール博多,870,49,地下鉄空港線,博多,5,ワンルーム,27.72,福岡県福岡市博多区博多駅前１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_20069809/
20073071,≪GW期間ご内覧可能です≫アートウィル赤坂,4980,32,地下鉄七隈線,桜坂,11,2LDK,65.61,福岡県福岡市中央区赤坂３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20073071/
20078023,ライオンズマンション平尾,3580,47,地下鉄七隈線,薬院大通,15,3LDK,83.29,福岡県福岡市中央区平尾２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20078023/
20082171,モントーレ東比恵クレア,4199,7,地下鉄空港線,東比恵,2,1LDK,42.77,福岡県福岡市博多区東比恵３-19-10,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_20082171/
20084916,ライオンズマンション西新,2780,44,地下鉄空港線,藤崎,5,2DK,45.97,福岡県福岡市早良区西新７,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_20084916/
20091063,ダイアパレス・グランデージ博多駅前1004号,5380,28,ＪＲ鹿児島本線,博多,9,3LDK,71.76,福岡県福岡市博多区博多駅前４,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_20091063/
20091079,グランドメゾン赤坂けやきレジデンス,7580,8,地下鉄空港線,赤坂,8,ワンルーム,63.59,福岡県福岡市中央区赤坂２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20091079/
20091541,コアマンション桜坂プレジオ弐番館,8290,25,地下鉄七隈線,桜坂,4,3LDK+S（納戸）,103.4,福岡県福岡市中央区六本松３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20091541/
20094571,藤和城西コーポ 301,2699,52,地下鉄七隈線,別府,7,3LDK,84.5,福岡県福岡市城南区別府４-13-29,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_20094571/
20096135,リファレンス天神南,4399,24,地下鉄七隈線,渡辺通,13,3LDK,65.32,福岡県福岡市中央区清川２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20096135/
20097897,【ロワールマンション博多駅南】博多駅徒歩圏！最新リノ…,3390,41,ＪＲ鹿児島本線,博多,15,3LDK,69.51,福岡県福岡市博多区博多駅南３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_20097897/
20098723,グリーンハイツ赤坂,2998,52,地下鉄七隈線,六本松,11,2LDK,72.57,福岡県福岡市中央区赤坂２-６番２３号,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20098723/
20100959,Ｂｒｉｌｌｉａ　Ｔｏｗｅｒ西新・ＰＲＡＬＩＶＡ,23500,5,地下鉄空港線,西新,1,4LDK,100.08,福岡県福岡市早良区西新４,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_20100959/
20101766,シティマンション薬院,3090,42,西鉄天神大牟田線,薬院,6,2LDK,56.22,福岡県福岡市中央区薬院１-10-16,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20101766/
20102140,コスモレジデンス西新,6280,20,地下鉄空港線,藤崎,5,4LDK,85.51,福岡県福岡市早良区西新７,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_20102140/
20102772,グランドメゾン福岡The Central Luxe,11000,1,西鉄天神大牟田線,薬院,3,1LDK,51.35,福岡県福岡市中央区渡辺通２-7-28,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20102772/
20105424,ネオハイツ南公園,2790,38,地下鉄七隈線,桜坂,8,3LDK,77.9,福岡県福岡市中央区谷２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20105424/
20106814,モントーレ東比恵クレア,4199,7,地下鉄空港線,東比恵,3,1LDK,42.77,福岡県福岡市博多区東比恵３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_20106814/
20117698,グランドメゾン大濠南,10990,25,地下鉄七隈線,六本松,3,3LDK+S（納戸）,98.79,福岡県福岡市中央区草香江２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20117698/
20118961,アーバンパレス大濠,5980,34,地下鉄空港線,大濠公園,6,3LDK,82.16,福岡県福岡市中央区荒戸２-2－42,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20118961/
20120081,グランドメゾン大濠公園THE CLASS,12000,2,地下鉄空港線,大濠公園,6,2LDK,60.35,福岡県福岡市中央区荒戸２-3-9,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20120081/
20120211,【秀和警固レジデンス】天神を日常にする好立地。青い屋…,3280,52,地下鉄空港線,赤坂,8,2LDK,69.43,福岡県福岡市中央区警固２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20120211/
20121900,モントーレヴェルキューブシティ福岡空港駅,3200,16,地下鉄空港線,福岡空港,9,2LDK,59.19,福岡県糟屋郡志免町別府西３,https://suumo.jp//ms/chuko/fukuoka/sc_kasuyagunshime/nc_20121900/
20123810,アクロス天神センタープラザ,6999,21,地下鉄七隈線,渡辺通,5,2LDK,71.11,福岡県福岡市中央区渡辺通３-10-39,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20123810/
20126844,パークハウス大濠,11880,28,地下鉄空港線,唐人町,12,3LDK,107.28,福岡県福岡市中央区大濠１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20126844/
20126908,オープンレジデンシア平尾市崎,6800,4,地下鉄七隈線,薬院,15,3LDK,66.0,福岡県福岡市南区市崎１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashiminami/nc_20126908/
20126920,トーカンマンション呉服町,1980,45,地下鉄空港線,中洲川端,14,1LDK+S（納戸）,59.85,福岡県福岡市博多区下呉服町,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_20126920/
20127337,クリオラベルヴィ呉服町,3299,8,地下鉄箱崎線,中洲川端,12,1LDK,34.4,福岡県福岡市博多区下呉服町3,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_20127337/
20127359,クリオラベルヴィ呉服町,4499,8,地下鉄箱崎線,中洲川端,12,2LDK,47.0,福岡県福岡市博多区下呉服町3,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_20127359/
20127824,ロイヤルマンション六本松,6500,37,地下鉄七隈線,六本松,6,2LDK,87.12,福岡県福岡市中央区梅光園１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20127824/
20128719,グランドメゾン福岡　The Central Luxe,9500,1,西鉄天神大牟田線,薬院,2,1LDK,63.29,福岡県福岡市中央区渡辺通２-７－２８,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20128719/
20130348,祖原公園ハウス,2430,43,地下鉄空港線,西新,9,3DK,57.04,福岡県福岡市早良区祖原22-25,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_20130348/
20130349,サンシャイン別府,2880,47,地下鉄七隈線,別府,8,4LDK,85.62,福岡県福岡市城南区別府４-2-4,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_20130349/
20130351,GSハイム博多,2622,46,地下鉄空港線,東比恵,5,3DK,66.15,福岡県福岡市博多区博多駅東２-13-21,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_20130351/
20131070,百道タワー,9300,22,地下鉄空港線,西新,10,1LDK,90.28,福岡県福岡市早良区百道浜１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_20131070/
20133049,三井薬院ハイツ,10880,44,地下鉄七隈線,薬院大通,6,8LDK,172.94,福岡県福岡市中央区薬院２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20133049/
20133549,ソピア大濠西,5290,27,地下鉄空港線,西新,10,3LDK,69.57,福岡県福岡市中央区鳥飼３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20133549/
20140679,MJR桜坂ザ・レジデンス,8990,7,地下鉄七隈線,桜坂,1,3LDK,89.39,福岡県福岡市中央区桜坂１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20140679/
20141412,【シティマンション薬院】天神徒歩圏。ペット可×フルリ…,3090,42,地下鉄七隈線,薬院大通,5,2LDK,56.22,福岡県福岡市中央区薬院１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20141412/
20142502,グランドメゾン大濠公園 THE CLASS,12000,2,地下鉄空港線,大濠公園,4,2LDK,60.35,福岡県福岡市中央区荒戸２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20142502/
20142596,グランドメゾン福岡 The Central Luxe,11000,1,西鉄天神大牟田線,薬院,2,1LDK,51.35,福岡県福岡市中央区渡辺通２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20142596/
20148820,GSハイム博多,2622,46,ＪＲ鹿児島本線,博多,9,4DK,66.15,福岡県福岡市博多区博多駅東２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_20148820/
20148823,パークホームズ警固本通り,7800,17,地下鉄空港線,赤坂,9,3LDK,82.96,福岡県福岡市中央区警固２-16-30,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20148823/
20150416,クリオラベルヴィ呉服町,4499,8,地下鉄空港線,中洲川端,12,2LDK,47.0,福岡県福岡市博多区下呉服町,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_20150416/
20152977,ダイナコートエスパシオ舞鶴,4400,30,地下鉄空港線,赤坂,6,2LDK,52.92,福岡県福岡市中央区舞鶴２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20152977/
20152980,グランフォーレラグゼ博多駅南,2999,10,地下鉄空港線,東比恵,15,1LDK,33.41,福岡県福岡市博多区博多駅南４,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_20152980/
20155224,アルファライフ博多,4699,15,地下鉄七隈線,博多,13,1LDK,53.04,福岡県福岡市博多区住吉５,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_20155224/
20160182,大蔵マンション東博多,1990,46,地下鉄空港線,東比恵,8,3LDK,66.74,福岡県福岡市博多区東比恵３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_20160182/
20160990,Ｂｒｉｌｌｉａ平尾浄水,9980,17,地下鉄七隈線,薬院大通,12,3LDK,108.17,福岡県福岡市中央区平尾浄水町,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20160990/
20161225,藤和コープ・サンウェルス,2080,46,地下鉄空港線,赤坂,8,1LDK,66.0,福岡県福岡市中央区警固２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20161225/
20162432,ＭＪＲ博多ザ・レジデンス,11200,1,ＪＲ鹿児島本線,博多,12,3LDK,97.26,福岡県福岡市博多区美野島１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_20162432/
20163090,アクロス天神センタープラザ,7570,21,地下鉄七隈線,渡辺通,5,4LDK,82.26,福岡県福岡市中央区渡辺通３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20163090/
20163284,エクセレンス谷,2590,47,地下鉄七隈線,桜坂,6,2LDK,57.23,福岡県福岡市中央区谷１-16-58,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20163284/
20163293,アルファライフ博多,4699,15,ＪＲ篠栗線,博多,14,1LDK,53.04,福岡県福岡市博多区住吉５-5-22,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_20163293/
20164538,サンシティ鳥飼,3899,32,地下鉄七隈線,別府,9,3LDK,68.49,福岡県福岡市城南区鳥飼４-9-3,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_20164538/
20165386,シーサイドももちアクアコート5番館,6780,33,地下鉄空港線,藤崎,14,3LDK,97.34,福岡県福岡市早良区百道浜３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_20165386/
20171751,グランドメゾン大濠公園南,10990,25,地下鉄七隈線,六本松,4,3LDK+S（納戸）,98.79,福岡県福岡市中央区草香江２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20171751/
20171965,サントーア薬院,5280,31,地下鉄七隈線,薬院大通,5,2LDK,73.35,福岡県福岡市中央区薬院２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20171965/
20172796,【リファレンス天神南】リフォーム済みの3面採光角部屋…,4299,24,地下鉄七隈線,渡辺通,13,3LDK,65.32,福岡県福岡市中央区清川２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20172796/
