name,price,age,line,station_name,minutes,layout,area,address,url
ロワールマンション西公園3　　　　　　　　　　　　　…,3380,39,地下鉄空港線,大濠公園,7,3LDK,59.3,福岡県福岡市中央区荒戸２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77104386/
朝日プラザ大濠,3490,42,地下鉄七隈線,六本松,5,3LDK,69.12,福岡県福岡市中央区草香江２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76712566/
日商岩井レジオン薬院,3498,26,地下鉄七隈線,薬院大通,6,2LDK,54.41,福岡県福岡市中央区薬院２-12-12,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76903690/
ピュアドーム博多リバーサイド,3498,19,地下鉄七隈線,渡辺通,10,2DK+S（納戸）,54.81,福岡県福岡市博多区美野島１-26－1,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_77157332/
フアミール別府,3499,42,地下鉄七隈線,別府,3,3LDK,81.0,福岡県福岡市城南区別府２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_76747931/
アトリーチェ西新,3588,26,地下鉄空港線,西新,3,2LDK,52.86,福岡県福岡市早良区西新１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_76307659/
南薬院パークマンション,3590,40,地下鉄七隈線,薬院大通,4,3LDK,65.1,福岡県福岡市中央区薬院２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76899785/
オープンレジデンシア博多住吉,3590,2,ＪＲ鹿児島本線,博多,9,1LDK,34.0,福岡県福岡市博多区住吉２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_75807654/
南薬院パークマンション,3590,40,地下鉄七隈線,薬院大通,4,3LDK,65.1,福岡県福岡市中央区薬院２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77015603/
パークハイツ赤坂,3680,46,地下鉄空港線,赤坂,13,2LDK,70.01,福岡県福岡市中央区赤坂２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76820170/
スコーレ赤坂,3790,43,地下鉄空港線,赤坂,2,3LDK,74.92,福岡県福岡市中央区赤坂１-10-7,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77092185/
アンピール百年橋,3799,30,地下鉄七隈線,渡辺通,15,3LDK,70.11,福岡県福岡市中央区清川３-9-23,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76982906/
藤和薬院コープ,3880,46,地下鉄七隈線,薬院大通,3,3LDK,70.06,福岡県福岡市中央区薬院２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77015467/
東急ドエル・アルス博多ステーションサイド,3890,25,地下鉄空港線,東比恵,8,3LDK,76.15,福岡県福岡市博多区比恵町,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_75810702/
ヒルズ百道,3950,27,地下鉄空港線,藤崎,3,2LDK,56.32,福岡県福岡市早良区百道２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_77032528/
グランドオーク別府ステーションリンク,3980,1,地下鉄七隈線,別府,1,1LDK,44.59,福岡県福岡市城南区別府２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_76859544/
ライオンズマンシヨン桜坂,3998,42,地下鉄七隈線,桜坂,5,3LDK,106.6,福岡県福岡市中央区桜坂３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77194716/
リファレンス天神南,3999,23,地下鉄七隈線,渡辺通,13,3LDK,65.32,福岡県福岡市中央区清川２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76816240/
アーバンパレスアクス大濠,4040,30,地下鉄空港線,唐人町,8,3LDK,72.48,福岡県福岡市中央区荒戸３-2-45,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75309828/
ロイヤルマンションパリエ別府,4280,18,地下鉄七隈線,別府,9,3LDK+S（納戸）,76.63,福岡県福岡市城南区田島１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_76858561/
