name,price,address,access,area,layout,yyyymm_construction,url,station_name,line,minutes,yyyymm,age
室見第２住宅３６号棟,2390,福岡県福岡市早良区南庄５,地下鉄空港線「室見」徒歩11分,67.0,3LDK,1976年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74994210/,室見,地下鉄空港線,11,1976-11-01,48
アンピール空港通り,2399,福岡県福岡市博多区吉塚４,地下鉄空港線「東比恵」徒歩20分,59.78,3LDK,1989年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74838074/,東比恵,地下鉄空港線,20,1989-09-01,35
サーパス新室見Ⅱ,2480,福岡県福岡市西区石丸２,地下鉄空港線「姪浜」徒歩22分,69.05,3LDK,1993年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_73629890/,姪浜,地下鉄空港線,22,1993-03-01,31
Asobi+  パーク・サンリヤン博多の森I・II番…,2490,福岡県糟屋郡志免町別府西２,地下鉄空港線「福岡空港」徒歩13分,76.68,3LDK,2003年3月,https://suumo.jp//ms/chuko/fukuoka/sc_kasuyagunshime/nc_72778033/,福岡空港,地下鉄空港線,13,2003-03-01,21
グリーンマンション姪浜,2490,福岡県福岡市西区姪の浜１,地下鉄空港線「姪浜」徒歩12分,69.66,3LDK,1982年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_74732705/,姪浜,地下鉄空港線,12,1982-01-01,42
皐月マンション奈良屋,2680,福岡県福岡市博多区奈良屋町,地下鉄空港線「中洲川端」徒歩9分,78.46,2LDK,1980年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74084215/,中洲川端,地下鉄空港線,9,1980-07-01,44
ロマネスク大名,2698,福岡県福岡市中央区大名１,地下鉄空港線「赤坂」徒歩8分,57.96,2LDK,1987年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74934138/,赤坂,地下鉄空港線,8,1987-07-01,37
ロマネスク大名,2698,福岡県福岡市中央区大名１,地下鉄空港線「赤坂」徒歩8分,57.96,2LDK,1984年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74954036/,赤坂,地下鉄空港線,8,1984-07-01,40
マリナタウンクレアコースト4番館,2780,福岡県福岡市西区愛宕浜２,地下鉄空港線「室見」徒歩26分,73.45,3LDK,1997年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_74811039/,室見,地下鉄空港線,26,1997-07-01,27
ライオンズマンション西公園第六,2780,福岡県福岡市中央区荒戸１,地下鉄空港線「大濠公園」徒歩5分,60.48,2LDK,1985年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74574490/,大濠公園,地下鉄空港線,5,1985-03-01,39
祖原公園ハウス,2790,福岡県福岡市早良区祖原,地下鉄空港線「西新」徒歩9分,66.62,2LDK,1983年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74689372/,西新,地下鉄空港線,9,1983-08-01,41
パークハウス警固フォレスト,2880,福岡県福岡市中央区警固３,地下鉄空港線「赤坂」徒歩12分,49.66,1LDK,2007年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_71669909/,赤坂,地下鉄空港線,12,2007-03-01,17
JGMヴェルデ室見,2980,福岡県福岡市西区愛宕２,地下鉄空港線「室見」徒歩9分,67.4,3LDK,1997年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_74006416/,室見,地下鉄空港線,9,1997-08-01,27
