name,price,address,access,area,layout,yyyymm_construction,url,station_name,line,minutes,yyyymm,age,id
ファミール輝国,1580,福岡県福岡市中央区輝国２-8-20,地下鉄七隈線「六本松」徒歩14分,68.0,3LDK,1984年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77795131/,六本松,地下鉄七隈線,14,1984-03-01,42,77795131
サンポートハイツ,1680,福岡県福岡市中央区港２-5-32,地下鉄空港線「大濠公園」徒歩8分,67.47,2LDK,1974年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77008208/,大濠公園,地下鉄空港線,8,1974-09-01,52,77008208
東カン第二キャステール,1990,福岡県福岡市博多区比恵町1-18,地下鉄空港線「東比恵」徒歩10分,51.66,1LDK,1975年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_78989095/,東比恵,地下鉄空港線,10,1975-03-01,51,78989095
ライオンズマンション鳥飼,2190,福岡県福岡市城南区鳥飼６-15-33,地下鉄七隈線「別府」徒歩8分,62.69,2LDK,1979年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_78839026/,別府,地下鉄七隈線,8,1979-08-01,47,78839026
ライオンズマンション鳥飼,2190,福岡県福岡市城南区鳥飼６-15-33,地下鉄七隈線「別府」徒歩9分,62.69,2LDK,1979年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_79102096/,別府,地下鉄七隈線,9,1979-08-01,47,79102096
Asobi+　エクセレンス天神,2430,福岡県福岡市中央区那の津１,地下鉄空港線「天神」徒歩10分,67.8,2LDK,1980年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_79016911/,天神,地下鉄空港線,10,1980-10-01,46,79016911
ダイアパレス薬院 205,2480,福岡県福岡市中央区薬院２,地下鉄七隈線「薬院大通」徒歩4分,36.37,ワンルーム,1981年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78975688/,薬院大通,地下鉄七隈線,4,1981-07-01,45,78975688
ビレッタ百道,2580,福岡県福岡市早良区百道１,地下鉄空港線「藤崎」徒歩12分,60.5,2LDK,1975年4月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_20098395/,藤崎,地下鉄空港線,12,1975-04-01,51,20098395
エクセレンス谷,2590,福岡県福岡市中央区谷１,地下鉄七隈線「六本松」徒歩6分,57.23,2LDK,1979年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20040622/,六本松,地下鉄七隈線,6,1979-08-01,47,20040622
ヴェルドミール薬院,2799,福岡県福岡市中央区薬院３,地下鉄七隈線「薬院大通」徒歩5分,68.26,2LDK,1980年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20005865/,薬院大通,地下鉄七隈線,5,1980-10-01,46,20005865
ライオンズマンション薬院第2,2899,福岡県福岡市中央区薬院２-17-1,地下鉄七隈線「薬院大通」徒歩7分,81.48,3LDK,1980年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77750945/,薬院大通,地下鉄七隈線,7,1980-02-01,46,77750945
藤和今泉コープ,2980,福岡県福岡市中央区今泉２-4-58,地下鉄七隈線「薬院大通」徒歩8分,69.6,3LDK,1979年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78541566/,薬院大通,地下鉄七隈線,8,1979-11-01,47,78541566
ロマネスク大濠アネックス,2980,福岡県福岡市中央区鳥飼２,地下鉄空港線「唐人町」徒歩11分,61.5,2LDK,1987年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78407815/,唐人町,地下鉄空港線,11,1987-05-01,39,78407815
〇素敵な住環境〇ライオンズマンションマキシム浄水通り…,3000,福岡県福岡市中央区薬院４,地下鉄七隈線「薬院大通」徒歩4分,83.83,2LDK,1981年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76444240/,薬院大通,地下鉄七隈線,4,1981-03-01,45,76444240
ライオンズマンション西新,3180,福岡県福岡市早良区西新７,地下鉄空港線「藤崎」徒歩3分,66.36,2LDK,1982年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_77933473/,藤崎,地下鉄空港線,3,1982-02-01,44,77933473
ロマネスク大濠アネックス,3199,福岡県福岡市中央区鳥飼２-6-15,地下鉄空港線「唐人町」徒歩14分,59.65,2LDK,1987年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_79090280/,唐人町,地下鉄空港線,14,1987-05-01,39,79090280
アンピール西公園,3199,福岡県福岡市中央区荒戸１,地下鉄空港線「大濠公園」徒歩7分,73.18,3LDK+S（納戸）,1982年4月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_79135091/,大濠公園,地下鉄空港線,7,1982-04-01,44,79135091
ロイヤルマンション別府６,3390,福岡県福岡市城南区別府６,地下鉄七隈線「別府」徒歩6分,82.27,3LDK,1994年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_79025486/,別府,地下鉄七隈線,6,1994-11-01,32,79025486
ライオンズヒルズ桜坂,3398,福岡県福岡市中央区桜坂３,地下鉄七隈線「桜坂」徒歩3分,68.25,3LDK,1986年12月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78915180/,桜坂,地下鉄七隈線,3,1986-12-01,40,78915180
ロワールマンション博多駅南,3490,福岡県福岡市博多区博多駅南３-20-22,ＪＲ鹿児島本線「博多」徒歩15分,69.51,3LDK,1985年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_20097897/,博多,ＪＲ鹿児島本線,15,1985-09-01,41,20097897
オープンレジデンシア天神今泉,3490,福岡県福岡市中央区今泉２,地下鉄七隈線「薬院大通」徒歩6分,34.12,1LDK,2023年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_79053066/,薬院大通,地下鉄七隈線,6,2023-09-01,3,79053066
ライオンズマンション平尾,3680,福岡県福岡市中央区平尾２,地下鉄七隈線「薬院」徒歩13分,83.29,3LDK,1979年12月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_79143689/,薬院,地下鉄七隈線,13,1979-12-01,47,79143689
星和今泉コーポラス,3780,福岡県福岡市中央区今泉２,地下鉄七隈線「薬院大通」徒歩7分,88.0,3LDK,1982年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78533278/,薬院大通,地下鉄七隈線,7,1982-02-01,44,78533278
