name,price,address,access,area,layout,yyyymm_construction,url
ホワイティ薬院,1250万円,福岡県福岡市中央区薬院１-6-5,西鉄天神大牟田線「薬院」徒歩4分,38.89m2（11.76坪）（壁芯）,1DK,1975年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77769283/
ダイアパレス薬院,1450万円,福岡県福岡市中央区薬院２-25-2,地下鉄七隈線「薬院大通」徒歩7分,36.37m2,1LDK,1984年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77518150/
博多駅前ビル,1850万円,福岡県福岡市博多区博多駅前１,ＪＲ鹿児島本線「博多」徒歩5分,61.69m2（壁芯）,3DK,1974年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_77808766/
パーク・ハイム鳥飼,1980万円,福岡県福岡市城南区鳥飼５-17-33,地下鉄七隈線「別府」徒歩9分,79.52m2,3LDK,1981年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_76520020/
ライオンズマンション南薬院,2180万円,福岡県福岡市中央区薬院３-6-4,西鉄天神大牟田線「薬院」徒歩5分,47.79m2（壁芯）,1LDK,1983年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77733296/
ビバライフ奈良屋,2390万円,福岡県福岡市博多区奈良屋町9-3,地下鉄空港線「中洲川端」徒歩8分,52.65m2（壁芯）,1LDK+S（納戸）,1979年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_77529234/
ニューライフ平尾,2480万円,福岡県福岡市中央区平尾１,地下鉄七隈線「薬院」徒歩8分,70.43m2（21.30坪）,2LDK,1981年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75274314/
ライオンズマンションマキシム平尾,2480万円,福岡県福岡市中央区平尾４,地下鉄七隈線「薬院大通」徒歩14分,44.27m2（壁芯）,1LDK,1991年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77648756/
博多駅前ビル,2497万円,福岡県福岡市博多区博多駅前１,ＪＲ鹿児島本線「博多」徒歩5分,63.49m2（壁芯）,2LDK,1974年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_77442591/
ガーデンハイツ大濠,2498万円,福岡県福岡市中央区草香江１,地下鉄七隈線「六本松」徒歩9分,64.6m2（19.54坪）（壁芯）,3LDK,1985年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77135247/
ライオンズマンション高砂,2499万円,福岡県福岡市中央区高砂１,地下鉄七隈線「渡辺通」徒歩7分,55.69m2（壁芯）,2LDK,1978年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77704764/
コープ東薬院,2780万円,福岡県福岡市中央区高砂１-20-25,地下鉄七隈線「薬院」徒歩6分,74.8m2（22.62坪）（壁芯）,2LDK,1980年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77902342/
祖原公園ハウス,2780万円,福岡県福岡市早良区祖原22-25,地下鉄空港線「西新」徒歩11分,66.62m2（20.15坪）（壁芯）,2LDK,1983年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_77637610/
グランフォーレ西新パサージュ,2780万円,福岡県福岡市早良区高取１,地下鉄空港線「藤崎」徒歩6分,31.02m2（壁芯）,1LDK,2021年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_75570199/
東峰マンションハイツ今川,2850万円,福岡県福岡市中央区今川１,地下鉄空港線「唐人町」徒歩4分,66.96m2（壁芯）,2LDK,1979年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76912059/
〇素敵な住環境〇ライオンズマンションマキシム浄水通り…,3000万円,福岡県福岡市中央区薬院４,地下鉄七隈線「薬院大通」徒歩4分,83.83m2（25.35坪）（壁芯）,2LDK,1981年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76444240/
藤和大手門コープ,3298万円,福岡県福岡市中央区大手門３,地下鉄空港線「大濠公園」徒歩2分,67.2m2（壁芯）,2LDK+S（納戸）,1982年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77903128/
ライオンズマンション薬院第2,3299万円,福岡県福岡市中央区薬院２-17-1,地下鉄七隈線「薬院大通」徒歩7分,81.48m2,3LDK,1980年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77750945/
朝日プラザ大濠,3390万円,福岡県福岡市中央区草香江２,地下鉄七隈線「六本松」徒歩6分,69.12m2（壁芯）,3LDK,1983年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76739272/
クレアランドマーク,3480万円,福岡県福岡市博多区冷泉町,地下鉄七隈線「櫛田神社前」徒歩3分,40.43m2,1LDK,2001年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_77428898/
ロマネスク大濠アネックス,3480万円,福岡県福岡市中央区鳥飼２,地下鉄空港線「唐人町」徒歩11分,61.5m2（壁芯）,2LDK,1987年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77664830/
オープンレジデンシア博多住吉,3490万円,福岡県福岡市博多区住吉２,ＪＲ鹿児島本線「博多」徒歩9分,34m2（壁芯）,1LDK,2023年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_75807654/
ハイラーク舞鶴,3499万円,福岡県福岡市中央区舞鶴１,地下鉄空港線「赤坂」徒歩6分,65.88m2（壁芯）,2LDK,1980年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77662588/
コアマンション祖原公園,3698万円,福岡県福岡市早良区昭代１,地下鉄空港線「藤崎」徒歩15分,70.27m2（壁芯）,3LDK,1999年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_77637631/
オープンレジデンシア博多住吉,3799万円,福岡県福岡市博多区住吉２,地下鉄七隈線「櫛田神社前」徒歩8分,34m2（10.28坪）（壁芯）,1LDK,2023年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_77703327/
モントーレ藤崎南,3880万円,福岡県福岡市早良区原１,地下鉄空港線「藤崎」徒歩14分,75.07m2（壁芯）,3LDK,1998年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_77373632/
スコーレ赤坂,3880万円,福岡県福岡市中央区赤坂１,地下鉄空港線「赤坂」徒歩1分,77.56m2（壁芯）,3LDK,1982年4月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77639066/
スコーレ赤坂,3880万円,福岡県福岡市中央区赤坂１,地下鉄空港線「赤坂」徒歩2分,77.56m2（壁芯）,3LDK,1982年4月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77697180/
