name,price,address,access,area,layout,yyyymm_construction,url,station_name,line,minutes,yyyymm,age,id
東峰マンション第二西公園,3498,福岡県福岡市中央区荒戸３,地下鉄空港線「唐人町」徒歩8分,73.55,3LDK,1982年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_21476068/,唐人町,地下鉄空港線,8,1982-02-01,44,21476068
ライフピア舞鶴,3499,福岡県福岡市中央区舞鶴３,地下鉄空港線「赤坂」徒歩6分,72.3,2LDK,1982年4月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_21407755/,赤坂,地下鉄空港線,6,1982-04-01,44,21407755
ライフピア舞鶴,3499,福岡県福岡市中央区舞鶴３-3-4,地下鉄空港線「赤坂」徒歩6分,72.3,2LDK,1982年4月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_21373792/,赤坂,地下鉄空港線,6,1982-04-01,44,21373792
赤坂パインマンション,3500,福岡県福岡市中央区赤坂１,地下鉄空港線「赤坂」徒歩7分,72.0,2LDK,1981年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_21221592/,赤坂,地下鉄空港線,7,1981-05-01,45,21221592
グレイス博多,3680,福岡県福岡市博多区博多駅東３,地下鉄空港線「東比恵」徒歩6分,95.29,3LDK,1980年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_21319148/,東比恵,地下鉄空港線,6,1980-08-01,46,21319148
グランフォーレ西新,3699,福岡県福岡市早良区城西１-8-14,地下鉄空港線「西新」徒歩7分,40.05,1LDK,2006年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_20966218/,西新,地下鉄空港線,7,2006-09-01,20,20966218
グランフォーレ西新,3699,福岡県福岡市早良区城西１,地下鉄空港線「西新」徒歩5分,40.05,1LDK,2006年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_20704362/,西新,地下鉄空港線,5,2006-09-01,20,20704362
ロマネスク西公園第６,3790,福岡県福岡市中央区荒戸２-4-37,地下鉄空港線「大濠公園」徒歩7分,52.24,2LDK,1991年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20884869/,大濠公園,地下鉄空港線,7,1991-03-01,35,20884869
藤和薬院コープ,3798,福岡県福岡市中央区薬院２-3-3,地下鉄七隈線「薬院大通」徒歩1分,73.69,3LDK,1979年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_21227604/,薬院大通,地下鉄七隈線,1,1979-03-01,47,21227604
トラスト福岡空港駅レジデンス,3850,福岡県糟屋郡志免町別府北４,地下鉄空港線「福岡空港」徒歩14分,67.85,3LDK,2024年5月,https://suumo.jp//ms/chuko/fukuoka/sc_kasuyagunshime/nc_20786690/,福岡空港,地下鉄空港線,14,2024-05-01,2,20786690
