name,price,address,access,area,layout,yyyymm_construction,url
ＭＪＲ桜坂ザ・レジデンス,9700万円,福岡県福岡市中央区桜坂１,地下鉄七隈線「桜坂」徒歩1分,89.39m2（27.04坪）（壁芯）,3LDK,2019年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76748960/
アクタス大手門パークシティ,9780万円,福岡県福岡市中央区大手門１,地下鉄空港線「赤坂」徒歩7分,93.92m2（28.41坪）（壁芯）,3LDK,2005年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76865748/
アクタス大手門パークシティ,9780万円,福岡県福岡市中央区大手門１-２－１８,地下鉄空港線「赤坂」徒歩7分,93.92m2（28.41坪）（壁芯）,3LDK,2005年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76842988/
百道タワー,9798万円,福岡県福岡市早良区百道浜１,地下鉄空港線「西新」徒歩13分,96.03m2（壁芯）,3LDK,2004年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_78367020/
ＭＪＲ赤坂タワー,9980万円,福岡県福岡市中央区赤坂１,地下鉄空港線「赤坂」徒歩1分,63.58m2（19.23坪）（壁芯）,2LDK,2017年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77925433/
百道タワー,9998万円,福岡県福岡市早良区百道浜１,地下鉄空港線「西新」徒歩10分,96.03m2（壁芯）,3LDK,2004年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_77824632/
アンピール・マキシム大濠,1億380万円,福岡県福岡市中央区荒戸２,地下鉄空港線「大濠公園」徒歩6分,108.56m2（32.83坪）（壁芯）,4LDK,2000年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77988877/
アンピールマキシム大濠,1億380万円,福岡県福岡市中央区荒戸２,地下鉄空港線「大濠公園」徒歩6分,108.56m2（32.83坪）（壁芯）,4LDK,2000年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78058321/
ネクサス薬院,1億580万円,福岡県福岡市中央区薬院１,地下鉄七隈線「薬院大通」徒歩4分,78.92m2（23.87坪）（壁芯）,2LDK,2015年6月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78221572/
ライオンズマンション大濠パークサイド,1億780万円,福岡県福岡市中央区鳥飼２,地下鉄空港線「唐人町」徒歩11分,105.51m2（壁芯）,3LDK,2003年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77561710/
