name,price,address,access,area,layout,yyyymm_construction,url,station_name,line,minutes,yyyymm,age,id
シティマンション輝国,950,福岡県福岡市中央区輝国２,地下鉄七隈線「六本松」徒歩15分,55.43,3DK,1984年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20230915/,六本松,地下鉄七隈線,15,1984-01-01,42,20230915
日商岩井弥生マンション,1390,福岡県福岡市早良区原１,地下鉄空港線「藤崎」徒歩14分,87.49,4LDK,1979年4月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_21609317/,藤崎,地下鉄空港線,14,1979-04-01,47,21609317
シティマンション輝国,1430,福岡県福岡市中央区輝国２,地下鉄七隈線「六本松」徒歩15分,55.06,3DK,1984年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20293641/,六本松,地下鉄七隈線,15,1984-01-01,42,20293641
マンション鳥飼204,1600,福岡県福岡市中央区鳥飼１-3-19,地下鉄七隈線「六本松」徒歩12分,49.8,1LDK,1973年12月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_21448109/,六本松,地下鉄七隈線,12,1973-12-01,53,21448109
皐月マンション奈良屋,1980,福岡県福岡市博多区奈良屋町12-18,地下鉄空港線「中洲川端」徒歩11分,53.28,2LDK,1980年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_21200951/,中洲川端,地下鉄空港線,11,1980-07-01,46,21200951
浄水グランドコーポ,2180,福岡県福岡市中央区浄水通,地下鉄七隈線「薬院大通」徒歩8分,49.72,1LDK,1975年4月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_21572548/,薬院大通,地下鉄七隈線,8,1975-04-01,51,21572548
大濠ハウス,2480,福岡県福岡市中央区草香江２,地下鉄七隈線「六本松」徒歩12分,76.18,2LDK+S（納戸）,1978年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20923977/,六本松,地下鉄七隈線,12,1978-08-01,48,20923977
エバーライフすのこ小前,2670,福岡県福岡市中央区港２-1-9,地下鉄空港線「大濠公園」徒歩8分,45.1,1LDK,1983年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_21738383/,大濠公園,地下鉄空港線,8,1983-11-01,43,21738383
グランフォーレラグゼ平尾,2699,福岡県福岡市南区市崎１,地下鉄七隈線「薬院大通」徒歩15分,30.18,1LDK,2011年6月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashiminami/nc_21286499/,薬院大通,地下鉄七隈線,15,2011-06-01,15,21286499
東カングランドマンション大濠パークサイド,2780,福岡県福岡市中央区鳥飼１-4-58,地下鉄空港線「唐人町」徒歩12分,55.0,2LDK,1974年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_21203656/,唐人町,地下鉄空港線,12,1974-08-01,52,21203656
ライオンズマンション西公園第2,2800,福岡県福岡市中央区荒戸３,地下鉄空港線「大濠公園」徒歩10分,57.75,1LDK+S（納戸）,1983年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_21653957/,大濠公園,地下鉄空港線,10,1983-03-01,43,21653957
ダイナコート赤坂南,2828,福岡県福岡市中央区桜坂２-5-43,地下鉄七隈線「桜坂」徒歩6分,63.27,3LDK,1988年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_21366199/,桜坂,地下鉄七隈線,6,1988-07-01,38,21366199
警固ハウス,2899,福岡県福岡市中央区警固１-15-15,地下鉄七隈線「薬院大通」徒歩8分,66.0,2LDK,1980年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_21128916/,薬院大通,地下鉄七隈線,8,1980-03-01,46,21128916
ファミール輝国,2990,福岡県福岡市中央区輝国２-8-20,地下鉄七隈線「六本松」徒歩15分,81.6,3LDK+S（納戸）,1984年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_21166001/,六本松,地下鉄七隈線,15,1984-03-01,42,21166001
警固ハウス,2990,福岡県福岡市中央区警固１,地下鉄七隈線「薬院大通」徒歩8分,66.0,3LDK,1980年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20968843/,薬院大通,地下鉄七隈線,8,1980-03-01,46,20968843
警固ハウス,2990,福岡県福岡市中央区警固１-15-15,地下鉄七隈線「薬院大通」徒歩10分,66.0,3LDK,1980年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20874418/,薬院大通,地下鉄七隈線,10,1980-03-01,46,20874418
警固ハウス,2990,福岡県福岡市中央区警固１,地下鉄七隈線「薬院大通」徒歩11分,66.0,3LDK,1980年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_21285511/,薬院大通,地下鉄七隈線,11,1980-03-01,46,21285511
グランフォーレ西新パサージュ,2990,福岡県福岡市早良区高取１,地下鉄空港線「藤崎」徒歩5分,31.02,1LDK,2021年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_21406306/,藤崎,地下鉄空港線,5,2021-11-01,5,21406306
グランフォーレ西新,3090,福岡県福岡市早良区城西１,地下鉄空港線「西新」徒歩6分,40.05,1LDK,2006年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_21031110/,西新,地下鉄空港線,6,2006-09-01,20,21031110
エステートマンション西公園,3180,福岡県福岡市中央区荒戸２,地下鉄空港線「大濠公園」徒歩8分,50.28,1LDK,1987年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_21472716/,大濠公園,地下鉄空港線,8,1987-01-01,39,21472716
【ロワールマンション博多駅南】博多駅徒歩圏！最新リノ…,3190,福岡県福岡市博多区博多駅南３,ＪＲ鹿児島本線「博多」徒歩15分,69.51,3LDK,1985年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_20097897/,博多,ＪＲ鹿児島本線,15,1985-09-01,41,20097897
クレアランドマーク,3280,福岡県福岡市博多区冷泉町2-9,地下鉄空港線「祇園」徒歩4分,40.43,1LDK,2001年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_21180321/,祇園,地下鉄空港線,4,2001-01-01,25,21180321
ライフピア舞鶴,3299,福岡県福岡市中央区舞鶴３-3-4,地下鉄空港線「赤坂」徒歩6分,72.3,2LDK,1982年4月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_21373792/,赤坂,地下鉄空港線,6,1982-04-01,44,21373792
ロマネスク桜坂第2,3299,福岡県福岡市中央区桜坂１,地下鉄七隈線「桜坂」徒歩3分,42.25,1LDK,1992年6月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_21359975/,桜坂,地下鉄七隈線,3,1992-06-01,34,21359975
東峰マンション第二西公園,3398,福岡県福岡市中央区荒戸３-3-48,地下鉄空港線「唐人町」徒歩9分,73.55,3LDK,1982年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_21600259/,唐人町,地下鉄空港線,9,1982-02-01,44,21600259
ラフィネスシャトードゥ赤坂,3399,福岡県福岡市中央区大手門１,地下鉄空港線「赤坂」徒歩8分,32.81,1LDK,2002年6月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20968854/,赤坂,地下鉄空港線,8,2002-06-01,24,20968854
オープンレジデンシア博多駅南,3490,福岡県福岡市博多区博多駅南２,ＪＲ鹿児島本線「博多」徒歩11分,34.7,1LDK,2024年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_21176444/,博多,ＪＲ鹿児島本線,11,2024-09-01,2,21176444
グランフォーレ西新,3499,福岡県福岡市早良区城西１-8-14,地下鉄空港線「西新」徒歩7分,40.05,1LDK,2006年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_20966218/,西新,地下鉄空港線,7,2006-09-01,20,20966218
赤坂パインマンション,3500,福岡県福岡市中央区赤坂１,地下鉄空港線「赤坂」徒歩7分,72.0,2LDK,1981年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_21221592/,赤坂,地下鉄空港線,7,1981-05-01,45,21221592
グランフォーレ西新,3599,福岡県福岡市早良区城西１,地下鉄空港線「西新」徒歩5分,40.05,1LDK,2006年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_20704362/,西新,地下鉄空港線,5,2006-09-01,20,20704362
グレイス博多,3680,福岡県福岡市博多区博多駅東３,地下鉄空港線「東比恵」徒歩6分,95.29,3LDK,1980年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_21319148/,東比恵,地下鉄空港線,6,1980-08-01,46,21319148
藤和薬院コープ,3698,福岡県福岡市中央区薬院２-3-3,地下鉄七隈線「薬院大通」徒歩1分,73.69,3LDK,1979年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_21227604/,薬院大通,地下鉄七隈線,1,1979-03-01,47,21227604
ロマネスク西公園第６,3790,福岡県福岡市中央区荒戸２-4-37,地下鉄空港線「大濠公園」徒歩7分,52.24,2LDK,1991年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20884869/,大濠公園,地下鉄空港線,7,1991-03-01,35,20884869
