name,price,address,access,area,layout,yyyymm_construction,url
第７プリンスマンション高砂,1450万円,福岡県福岡市中央区高砂１,地下鉄七隈線「渡辺通」徒歩9分,46.86m2（壁芯）,2LDK,1978年12月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78348652/
トーカンマンション博多駅前第８,1650万円,福岡県福岡市博多区博多駅前４,ＪＲ鹿児島本線「博多」徒歩10分,56.03m2（壁芯）,1LDK+S（納戸）,1979年12月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_78613656/
ダイナコート赤坂南,1980万円,福岡県福岡市中央区桜坂２,地下鉄七隈線「桜坂」徒歩6分,63.27m2（19.13坪）（壁芯）,3LDK,1988年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78681612/
秀和警固レジデンス,2480万円,福岡県福岡市中央区警固２,地下鉄空港線「赤坂」徒歩8分,54.88m2（壁芯）,1LDK,1974年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78784974/
コープ野村南薬院,2480万円,福岡県福岡市中央区薬院４,地下鉄七隈線「薬院大通」徒歩4分,50.51m2（壁芯）,1LDK,1981年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77933224/
コープ東薬院,2580万円,福岡県福岡市中央区高砂１-20-25,西鉄天神大牟田線「薬院」徒歩6分,74.8m2,2LDK,1980年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78153162/
ライオンズマンション桜坂,2599万円,福岡県福岡市中央区桜坂３,地下鉄七隈線「桜坂」徒歩6分,57.6m2（壁芯）,2LDK,1983年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78652606/
ガーデンハイツ大濠,2790万円,福岡県福岡市中央区草香江１-7-9,地下鉄七隈線「六本松」徒歩8分,54.13m2,2LDK,1985年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78462792/
藤和今泉コープ,2980万円,福岡県福岡市中央区今泉２-4-58,地下鉄七隈線「薬院大通」徒歩8分,69.6m2（21.05坪）（壁芯）,3LDK,1979年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78541566/
ライオンズマンション薬院第2,2999万円,福岡県福岡市中央区薬院２-17-1,地下鉄七隈線「薬院大通」徒歩7分,81.48m2,3LDK,1980年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77750945/
ライオンズマンション薬院第2,2999万円,福岡県福岡市中央区薬院２,地下鉄七隈線「薬院大通」徒歩6分,81.48m2（壁芯）,3LDK,1980年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78330713/
〇素敵な住環境〇ライオンズマンションマキシム浄水通り…,3000万円,福岡県福岡市中央区薬院４,地下鉄七隈線「薬院大通」徒歩4分,83.83m2（25.35坪）（壁芯）,2LDK,1981年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76444240/
ロマネスク大濠アネックス,3080万円,福岡県福岡市中央区鳥飼２,地下鉄空港線「唐人町」徒歩11分,61.5m2（壁芯）,2LDK,1987年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78407815/
ロワールマンション高取,3280万円,福岡県福岡市早良区高取１,地下鉄空港線「藤崎」徒歩3分,66.77m2（登記）,3LDK,1986年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_78854558/
