name,price,address,access,area,layout,yyyymm_construction,url
ライオンズマンション西公園第2,1880万円,福岡県福岡市中央区荒戸３,地下鉄空港線「大濠公園」徒歩10分,35.88m2（壁芯）,1LDK+S（納戸）,1983年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76366247/
パーク・ハイム鳥飼,1980万円,福岡県福岡市城南区鳥飼５-17-33,地下鉄七隈線「別府」徒歩9分,79.52m2,3LDK,1981年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_76520020/
東峰マンション大宮,1999万円,福岡県福岡市中央区大宮１-5-31,西鉄天神大牟田線「薬院」徒歩8分,56.61m2,2LDK,1978年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77510907/
サンハイツ舞鶴、903,2250万円,福岡県福岡市中央区舞鶴３,地下鉄空港線「赤坂」徒歩7分,65.19m2（壁芯）,2LDK,1974年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77637208/
博多ニッコーハイツ,2280万円,福岡県福岡市博多区博多駅東３,地下鉄空港線「東比恵」徒歩8分,65.92m2（壁芯）,3LDK,1979年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_77548488/
シティマンション平尾,2280万円,福岡県福岡市中央区平尾２-2-18,西鉄天神大牟田線「薬院」徒歩11分,55m2（16.63坪）（壁芯）,2LDK,1984年4月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77416000/
コープオリンピア平尾,2380万円,福岡県福岡市中央区白金２-11-30,西鉄天神大牟田線「薬院」徒歩14分,55.18m2,2LDK,1982年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76981665/
ルイマーブル奈良屋,2398万円,福岡県福岡市博多区奈良屋町14-3,地下鉄空港線「中洲川端」徒歩11分,58.56m2,2LDK,1980年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_77479206/
ビバライフ奈良屋,2480万円,福岡県福岡市博多区奈良屋町9-3,地下鉄空港線「中洲川端」徒歩8分,52.65m2（壁芯）,1LDK+S（納戸）,1979年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_77529234/
ニューライフ平尾,2480万円,福岡県福岡市中央区平尾１,地下鉄七隈線「薬院」徒歩8分,70.43m2（21.30坪）,2LDK,1981年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75274314/
ガーデンハイツ大濠,2498万円,福岡県福岡市中央区草香江１,地下鉄七隈線「六本松」徒歩9分,64.6m2（19.54坪）（壁芯）,3LDK,1985年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77135247/
博多駅前ビル,2598万円,福岡県福岡市博多区博多駅前１,ＪＲ鹿児島本線「博多」徒歩5分,63.49m2（壁芯）,2LDK,1974年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_77442591/
スバルマンション薬院,2680万円,福岡県福岡市中央区薬院２,地下鉄七隈線「薬院大通」徒歩9分,63.76m2（壁芯）,2LDK,1979年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77565160/
ライオンズマンションマキシム平尾,2680万円,福岡県福岡市中央区平尾４,地下鉄七隈線「薬院大通」徒歩14分,44.27m2（壁芯）,1LDK,1991年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77648756/
祖原公園ハウス,2780万円,福岡県福岡市早良区祖原22-25,地下鉄空港線「西新」徒歩11分,66.62m2（20.15坪）（壁芯）,2LDK,1983年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_77637610/
高取パーク・ファミリア,2780万円,福岡県福岡市早良区高取１,地下鉄空港線「藤崎」徒歩3分,69.38m2（壁芯）,3LDK,1982年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_77604033/
グランフォーレ西新パサージュ,2780万円,福岡県福岡市早良区高取１,地下鉄空港線「藤崎」徒歩6分,31.02m2（壁芯）,1LDK,2021年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_75570199/
ロワールマンション大名,2880万円,福岡県福岡市中央区大名１,地下鉄空港線「赤坂」徒歩6分,68.04m2（壁芯）,2LDK,1980年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77058404/
東峰マンションハイツ今川,2899万円,福岡県福岡市中央区今川１,地下鉄空港線「唐人町」徒歩4分,66.96m2（壁芯）,2LDK,1979年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76912059/
高取パークファミリア、604,2980万円,福岡県福岡市早良区高取１,地下鉄空港線「藤崎」徒歩4分,59.8m2（壁芯）,3LDK,1982年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_77588214/
城西オークマンション,2980万円,福岡県福岡市早良区城西２,地下鉄空港線「西新」徒歩5分,98.73m2（壁芯）,3LDK,1979年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_77510751/
〇素敵な住環境〇ライオンズマンションマキシム浄水通り…,3000万円,福岡県福岡市中央区薬院４,地下鉄七隈線「薬院大通」徒歩4分,83.83m2（25.35坪）（壁芯）,2LDK,1981年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_76444240/
ロイヤルマンション別府,3120万円,福岡県福岡市城南区別府３-1-11,地下鉄七隈線「別府」徒歩4分,63m2,2LDK+S（納戸）,1986年4月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_77130947/
ロマネスク大濠,3190万円,福岡県福岡市中央区鳥飼１,地下鉄七隈線「六本松」徒歩15分,70.22m2（壁芯）,2LDK,1980年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77588706/
クレアランドマーク,3480万円,福岡県福岡市博多区冷泉町,地下鉄七隈線「櫛田神社前」徒歩3分,40.43m2,1LDK,2001年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_77428898/
オープンレジデンシア博多住吉,3490万円,福岡県福岡市博多区住吉２,ＪＲ鹿児島本線「博多」徒歩9分,34m2（壁芯）,1LDK,2023年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_75807654/
ライオンズマンション西公園,3499万円,福岡県福岡市中央区荒戸２,地下鉄空港線「大濠公園」徒歩8分,85.37m2（25.82坪）,3LDK,1979年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77590473/
オープンレジデンシア薬院白金,3500万円,福岡県福岡市中央区白金２-1-24,西鉄天神大牟田線「薬院」徒歩9分,31.34m2,1LDK,2023年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77472703/
ロワールマンション大濠2,3580万円,福岡県福岡市中央区荒戸２,地下鉄空港線「大濠公園」徒歩5分,67.29m2（登記）,2LDK,1986年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77549113/
ハイラーク舞鶴,3599万円,福岡県福岡市中央区舞鶴１,地下鉄空港線「赤坂」徒歩6分,65.88m2（19.92坪）（壁芯）,2LDK,1980年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77084553/
ハイラーク舞鶴,3599万円,福岡県福岡市中央区舞鶴１,地下鉄空港線「赤坂」徒歩6分,65.88m2（壁芯）,2LDK,1980年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77662588/
コアマンション祖原公園,3698万円,福岡県福岡市早良区昭代１,地下鉄空港線「藤崎」徒歩15分,70.27m2（壁芯）,3LDK,1999年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_77637631/
アクセス別府リバーサイド　中古マンション,3780万円,福岡県福岡市城南区田島１,地下鉄七隈線「別府」徒歩12分,83.87m2,4LDK,2003年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_77167167/
スコーレ赤坂,3880万円,福岡県福岡市中央区赤坂１,地下鉄空港線「赤坂」徒歩1分,77.56m2（壁芯）,3LDK,1982年4月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77639066/
トラスト福岡空港駅レジデンス,3890万円,福岡県糟屋郡志免町別府北４,地下鉄空港線「福岡空港」徒歩14分,65.55m2（19.82坪）（壁芯）,3LDK,2024年5月,https://suumo.jp//ms/chuko/fukuoka/sc_kasuyagunshime/nc_77251778/
ヒルズ百道,3950万円,福岡県福岡市早良区百道２,地下鉄空港線「藤崎」徒歩3分,56.32m2（壁芯）,2LDK,1998年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_77032528/
ラフォーレ室見,3980万円,福岡県福岡市早良区室見４,地下鉄空港線「藤崎」徒歩9分,90.87m2,4LDK,2003年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_77382670/
エンゼルハイム大濠公園南,3984万円,福岡県福岡市城南区鳥飼６,地下鉄七隈線「別府」徒歩4分,69.03m2（20.88坪）（壁芯）,3LDK,1990年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_77201526/
アーバンパレスアクス大濠,4000万円,福岡県福岡市中央区荒戸３-2-45,地下鉄空港線「唐人町」徒歩8分,72.48m2,3LDK,1995年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75309828/
