name,price,address,access,area,layout,yyyymm_construction,url,station_name,line,minutes,yyyymm,age,id
シティマンション輝国,950,福岡県福岡市中央区輝国２,地下鉄七隈線「六本松」徒歩15分,55.43,3DK,1984年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20230915/,六本松,地下鉄七隈線,15,1984-01-01,42,20230915
シティマンション輝国,1430,福岡県福岡市中央区輝国２,地下鉄七隈線「六本松」徒歩15分,55.06,3DK,1984年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20293641/,六本松,地下鉄七隈線,15,1984-01-01,42,20293641
ロマネスク渡辺通第2,1799,福岡県福岡市中央区高砂２-6-15,地下鉄七隈線「渡辺通」徒歩12分,33.29,1LDK,1989年4月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20320814/,渡辺通,地下鉄七隈線,12,1989-04-01,37,20320814
ロマネスク渡辺通第2,1799,福岡県福岡市中央区高砂２,地下鉄七隈線「渡辺通」徒歩12分,33.29,1LDK,1989年4月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20393142/,渡辺通,地下鉄七隈線,12,1989-04-01,37,20393142
ライオンズマンション鳥飼,2190,福岡県福岡市城南区鳥飼６-15-33,地下鉄七隈線「別府」徒歩9分,62.69,2LDK,1979年8月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_79102096/,別府,地下鉄七隈線,9,1979-08-01,47,79102096
ホワイティ薬院,2380,福岡県福岡市中央区薬院１,西鉄天神大牟田線「薬院」徒歩3分,38.81,1LDK,1975年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78062008/,薬院,西鉄天神大牟田線,3,1975-05-01,51,78062008
ビレッタ百道,2380,福岡県福岡市早良区百道１,地下鉄空港線「藤崎」徒歩12分,60.5,2LDK,1975年4月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_20293375/,藤崎,地下鉄空港線,12,1975-04-01,51,20293375
Asobi+　エクセレンス天神,2430,福岡県福岡市中央区那の津１,地下鉄空港線「天神」徒歩10分,67.8,2LDK,1980年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_79016911/,天神,地下鉄空港線,10,1980-10-01,46,79016911
パークハイツ桜坂,2480,福岡県福岡市中央区桜坂３-12-78,地下鉄七隈線「桜坂」徒歩4分,67.2,2LDK+2S（納戸）,1977年6月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20211012/,桜坂,地下鉄七隈線,4,1977-06-01,49,20211012
プレイスポットしんばしビル本館,2480,福岡県福岡市博多区中洲２,地下鉄七隈線「櫛田神社前」徒歩2分,40.63,1DK,1975年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_20310107/,櫛田神社前,地下鉄七隈線,2,1975-02-01,51,20310107
