name,price,age,line,station_name,minutes,layout,area,address,url
マリナタウンクレアコースト4番館,2780,27,地下鉄空港線,室見,26,3LDK,73.45,福岡県福岡市西区愛宕浜２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_74811039/
ライオンズマンション西公園第六,2780,39,地下鉄空港線,大濠公園,5,2LDK,60.48,福岡県福岡市中央区荒戸１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74574490/
祖原公園ハウス,2790,41,地下鉄空港線,西新,9,2LDK,66.62,福岡県福岡市早良区祖原,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74689372/
パークハウス警固フォレスト,2880,17,地下鉄空港線,赤坂,12,1LDK,49.66,福岡県福岡市中央区警固３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_71669909/
JGMヴェルデ室見,2980,27,地下鉄空港線,室見,9,3LDK,67.4,福岡県福岡市西区愛宕２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_74006416/
ロマネスク西公園台7,2990,33,地下鉄空港線,大濠公園,16,3LDK,69.3,福岡県福岡市中央区港３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74420355/
弥生パインマンション,3180,42,地下鉄空港線,藤崎,12,3LDK,94.77,福岡県福岡市早良区弥生２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74404779/
グリーンハイツ室見河畔,3290,28,地下鉄空港線,姪浜,22,2LDK+S（納戸）,72.34,福岡県福岡市早良区小田部６,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74775166/
クリオラベルヴィ博多,3390,5,地下鉄空港線,東比恵,3,2LDK,43.36,福岡県福岡市博多区比恵町,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74792176/
クリオラベルヴィ博多,3390,5,地下鉄空港線,東比恵,5,2LDK,43.36,福岡県福岡市博多区比恵町,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74802697/
クラブエイリック室見パークサイド,3480,12,地下鉄空港線,姪浜,23,3LDK,65.4,福岡県福岡市早良区小田部６,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74282683/
プレサンスロジェ博多駅北,3580,5,地下鉄空港線,東比恵,16,2LDK,57.09,福岡県福岡市博多区吉塚３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_73728236/
アクロス原ブルームテラス,3590,10,地下鉄空港線,室見,18,3LDK,71.51,福岡県福岡市早良区原４,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74899761/
ライオンズガーデンシティ鳥飼I番館,3680,26,地下鉄空港線,西新,15,3LDK,74.11,福岡県福岡市城南区鳥飼４,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_74651887/
アンピール天神東,3880,20,地下鉄空港線,祇園,14,2LDK,65.04,福岡県福岡市中央区春吉２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_72841284/
プレサンスロジェ博多駅北,3898,5,地下鉄空港線,東比恵,15,3LDK,66.14,福岡県福岡市博多区吉塚３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74942784/
プレサンスロジェ博多駅北,3898,5,地下鉄空港線,東比恵,17,3LDK,66.14,福岡県福岡市博多区吉塚３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74862900/
プレサンスロジェ博多駅北,3898,5,地下鉄空港線,東比恵,19,3LDK,66.14,福岡県福岡市博多区吉塚３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74935496/
プレサンスロジェ博多駅北,3898,5,地下鉄空港線,東比恵,17,3LDK,66.14,福岡県福岡市博多区吉塚３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74948617/
〇都心のエリア〇グランディア百道浜通り,3980,18,地下鉄空港線,西新,10,2LDK,74.46,福岡県福岡市早良区西新２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74560721/
エンゼルハイムももち　中古マンション,4190,29,地下鉄空港線,西新,10,3LDK,70.19,福岡県福岡市早良区西新２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74902566/
エンゼルハイムももち,4190,29,地下鉄空港線,西新,10,3LDK,70.19,福岡県福岡市早良区西新２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74933603/
ライオンズ赤坂セントマークス,4230,17,地下鉄空港線,赤坂,4,1LDK+S（納戸）,55.46,福岡県福岡市中央区赤坂１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74064735/
パレスト別府駅前,4280,18,地下鉄空港線,西新,21,3LDK,75.44,福岡県福岡市城南区別府３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_74094076/
ダイアパレス赤坂けやき通り,4280,24,地下鉄空港線,赤坂,11,3LDK,67.64,福岡県福岡市中央区赤坂３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74616643/
ジェネラスマンション百道,4380,20,地下鉄空港線,藤崎,10,3LDK,78.91,福岡県福岡市早良区西新７,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74951836/
ジェネラスマンション百道,4380,20,地下鉄空港線,藤崎,10,3LDK,78.91,福岡県福岡市早良区西新７,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74941948/
アンピールリーヴァス天神,4480,26,地下鉄空港線,博多,20,3LDK,74.75,福岡県福岡市中央区春吉１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74996654/
Asobi+　プレサンスロジェ博多駅北,4490,5,地下鉄空港線,東比恵,19,3LDK,71.14,福岡県福岡市博多区吉塚３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74949305/
アトモスももち,4490,31,地下鉄空港線,藤崎,17,2LDK,81.1,福岡県福岡市早良区百道浜４,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74026047/
エイルマンション吉塚Ⅲ,4580,1,地下鉄空港線,祇園,18,2LDK+S（納戸）,65.2,福岡県福岡市博多区吉塚１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_73955683/
レネット原,4600,23,地下鉄空港線,室見,23,2LDK,89.8,福岡県福岡市早良区原４,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74163304/
ダイアパレスプレッソけやき通り,4880,28,地下鉄空港線,赤坂,11,2LDK,65.76,福岡県福岡市中央区薬院２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74692306/
グランフォーレ百道アクアフロント,4980,4,地下鉄空港線,藤崎,10,3LDK,71.15,福岡県福岡市早良区百道３-16-12,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_73150701/
ライオンズタワー赤坂けやき通り,5000,17,地下鉄空港線,赤坂,10,2LDK,60.05,福岡県福岡市中央区赤坂２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74606216/
アーティックス大濠,5280,20,地下鉄空港線,唐人町,13,3LDK,81.12,福岡県福岡市中央区鳥飼１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74918209/
アメックス西公園桜別荘,5380,12,地下鉄空港線,大濠公園,10,2LDK,78.36,福岡県福岡市中央区西公園,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74513176/
ハウベスト赤坂けやき通り,5480,26,地下鉄空港線,赤坂,12,3LDK,79.0,福岡県福岡市中央区赤坂３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75011369/
ザ・ライオンズ大濠公園,5800,0,地下鉄空港線,大濠公園,2,2LDK,43.86,福岡県福岡市中央区荒戸１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74826921/
ラフォーレ赤坂ルネッサンス,5830,24,地下鉄空港線,赤坂,15,2LDK,90.47,福岡県福岡市中央区赤坂３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74942805/
ラフォーレ赤坂ルネッサンス,5830,24,地下鉄空港線,赤坂,13,2LDK,90.47,福岡県福岡市中央区赤坂３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_73880138/
ザ・ライオンズ百道,5980,14,地下鉄空港線,藤崎,9,3LDK,82.45,福岡県福岡市早良区百道３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74615383/
ザ・ライオンズ百道,5980,14,地下鉄空港線,藤崎,9,4LDK,85.06,福岡県福岡市早良区百道３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74807764/
パークホームズ西新トラッドマークス,6250,6,地下鉄空港線,西新,3,3LDK,69.22,福岡県福岡市早良区西新２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_73774027/
レジデンス百道,6880,9,地下鉄空港線,藤崎,3,3LDK,84.03,福岡県福岡市早良区百道２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74126354/
ルッシュ西公園,6980,34,地下鉄空港線,唐人町,13,2LDK,101.94,福岡県福岡市中央区荒戸３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74145823/
アルファステイツ高取,7480,14,地下鉄空港線,藤崎,6,3LDK,92.43,福岡県福岡市早良区高取１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74860170/
ザ・パークハウス福岡タワーズＥＡＳＴ　中古マンション,7480,4,地下鉄空港線,唐人町,13,3LDK,81.73,福岡県福岡市中央区地行浜２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74552844/
パークホームズ警固本通り,7950,15,地下鉄空港線,赤坂,8,2LDK,93.66,福岡県福岡市中央区警固２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74038618/
大濠オドゥール,8480,26,地下鉄空港線,唐人町,9,3LDK,99.99,福岡県福岡市中央区大濠１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_75022078/
コアマンションけやき通りプレジオ,9980,22,地下鉄空港線,赤坂,15,4LDK,133.37,福岡県福岡市中央区赤坂３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74947240/
プレミスト大濠二丁目,12500,1,地下鉄空港線,唐人町,7,2LDK,82.33,福岡県福岡市中央区大濠２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_73748454/
レーベン福岡天神ONE TOWER,25000,0,地下鉄空港線,天神,8,3LDK,100.12,福岡県福岡市中央区天神５,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74675008/
パールコーポ原,570,45,地下鉄空港線,室見,24,2DK,51.66,福岡県福岡市早良区原５,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_72897986/
東峰マンション西公園,680,46,地下鉄空港線,大濠公園,5,1DK,23.38,福岡県福岡市中央区荒戸３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74468543/
シャルマンコーポ博多,680,50,地下鉄箱崎線,中洲川端,20,2DK,43.24,福岡県福岡市博多区千代５,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74988872/
ダイアパレス博多駅前,1150,39,地下鉄空港線,博多,10,1DK,28.35,福岡県福岡市博多区博多駅前４-31-3,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74964282/
ライオンズマンション大濠西,1380,38,地下鉄空港線,西新,10,2DK,44.79,福岡県福岡市中央区鳥飼３-2-10,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74480218/
十郎川サンハイツ,1390,42,地下鉄空港線,姪浜,32,3LDK,84.97,福岡県福岡市西区十郎川団地,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_74906157/
箱崎エクセル南22,1398,35,地下鉄空港線,福岡空港,33,4LDK,71.78,福岡県福岡市東区二又瀬新町,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihigashi/nc_74274905/
