name,price,address,access,area,layout,yyyymm_construction,url
〇1月16日価格更新〇ライオンズマンション天神南〇１…,5560万円,福岡県福岡市中央区今泉２-1-32,地下鉄七隈線「薬院大通」徒歩10分,86.02m2（壁芯）,1LDK,1992年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78230383/
九大学研都市タワー１９,5780万円,福岡県福岡市西区西都２-１－１１,ＪＲ筑肥線「九大学研都市」徒歩3分,76.79m2（壁芯）,3LDK,2016年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_79026269/
グランディアソラーレ春日公園,5780万円,福岡県春日市春日公園５,ＪＲ鹿児島本線「大野城」徒歩4分,94.6m2（壁芯）,3LDK,2016年7月,https://suumo.jp//ms/chuko/fukuoka/sc_kasuga/nc_77875525/
インプレスト天神オークタワー,6190万円,福岡県福岡市中央区長浜２,地下鉄空港線「赤坂」徒歩9分,56.79m2（17.17坪）（壁芯）,2LDK,2020年5月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78973290/
デュ・レジア薬院テラス,6190万円,福岡県福岡市中央区高砂２,地下鉄七隈線「薬院」徒歩12分,63m2（19.05坪）,2LDK,2022年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78335200/
ヒューマインド姪浜駅前,6399万円,福岡県福岡市西区姪浜駅南１,地下鉄空港線「姪浜」徒歩2分,81.33m2（24.60坪）（壁芯）,4LDK,2013年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashinishi/nc_78815666/
シーサイドももちヴェルデコート５番館,6480万円,福岡県福岡市早良区百道浜３-3-5,地下鉄空港線「藤崎」徒歩10分,93.67m2（壁芯）,3LDK,1991年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_79015514/
デュ・レジア薬院テラス,6490万円,福岡県福岡市中央区高砂２,地下鉄七隈線「薬院」徒歩11分,63m2（壁芯）,2LDK,2022年3月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_79108337/
ブライトンヒルズ藤崎,6580万円,福岡県福岡市早良区藤崎１-5-10,地下鉄空港線「藤崎」徒歩7分,79.23m2,3LDK,2003年7月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_79071797/
アーバンパレス博多グロウサイド,6750万円,福岡県福岡市博多区銀天町３,ＪＲ鹿児島本線「南福岡」徒歩9分,80.01m2（24.20坪）（壁芯）,3LDK,2025年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_78974914/
ルッシュ・西公園,6780万円,福岡県福岡市中央区荒戸３,地下鉄空港線「大濠公園」徒歩10分,101.94m2（壁芯）,3LDK,1990年9月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_77740848/
コアマンション桜坂プレジオ弐番館,6980万円,福岡県福岡市中央区六本松３,地下鉄七隈線「六本松」徒歩4分,107.15m2（壁芯）,4LDK,2001年1月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78506013/
レジア赤坂テラス,7200万円,福岡県福岡市中央区長浜２,地下鉄空港線「赤坂」徒歩7分,67.47m2（20.40坪）（壁芯）,3LDK,2016年12月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_79067572/
ヒルズ平尾,7480万円,福岡県福岡市中央区平尾４,地下鉄七隈線「薬院大通」徒歩15分,93.25m2（壁芯）,4LDK,1998年2月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78330015/
サーパス薬院,7700万円,福岡県福岡市中央区薬院３,西鉄天神大牟田線「薬院」徒歩4分,99.96m2（壁芯）,4LDK,2003年10月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78574614/
レジア赤坂テラス,7800万円,福岡県福岡市中央区長浜２,地下鉄空港線「赤坂」徒歩6分,75.44m2（壁芯）,3LDK,2016年12月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_20095594/
グランドメゾン大濠南,8080万円,福岡県福岡市中央区草香江２,地下鉄七隈線「六本松」徒歩4分,87.11m2（壁芯）,3LDK,2001年11月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78931858/
グランドステイツ大濠公園南,8490万円,福岡県福岡市中央区六本松３,地下鉄七隈線「六本松」徒歩3分,80.69m2（壁芯）,3LDK,2004年6月,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_78987225/
