name,price,age,line,station_name,minutes,layout,area,address,url
ライオンズマンション平尾台３号棟　中古マンション,1380,44,地下鉄七隈線,薬院大通,19,2LDK,82.46,福岡県福岡市中央区平尾５,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74814536/
アンピール駅東,1680,41,ＪＲ鹿児島本線,博多,13,3DK,56.15,福岡県福岡市博多区東光２,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashihakata/nc_74972680/
鳥飼リバーハイツ　中古マンション,1870,45,地下鉄七隈線,別府,12,2LDK,71.91,福岡県福岡市城南区鳥飼４,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashijonan/nc_74924548/
ヒューマンズ小笹,1880,35,地下鉄七隈線,桜坂,28,3LDK+S（納戸）,80.59,福岡県福岡市中央区小笹３-21-46,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74729729/
◇LDK17帖のプランもご提案可能◇リーベスト小笹,2130,28,地下鉄七隈線,桜坂,22,3LDK,71.15,福岡県福岡市中央区小笹４,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_73375829/
ライオンズマンションマキシム萩の宮,2190,43,地下鉄七隈線,薬院大通,23,2LDK,62.49,福岡県福岡市南区高宮１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashiminami/nc_74934664/
東峰マンション大濠,2190,47,地下鉄七隈線,六本松,15,2LDK,72.9,福岡県福岡市中央区鳥飼１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_71894128/
サンライフ西公園　905号室,2280,47,地下鉄七隈線,六本松,23,4LDK,83.68,福岡県福岡市中央区荒戸３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74792088/
スコーレ笹丘,2320,41,地下鉄七隈線,別府,23,3LDK,87.14,福岡県福岡市中央区笹丘３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74133105/
シャンボール大濠　中古マンション,2390,46,地下鉄七隈線,別府,14,3LDK,74.88,福岡県福岡市中央区鳥飼３,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74127773/
ロマネスク大名,2698,37,地下鉄七隈線,薬院大通,12,2LDK,57.96,福岡県福岡市中央区大名１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74934138/
ロマネスク大名,2698,40,地下鉄七隈線,薬院大通,12,2LDK,57.96,福岡県福岡市中央区大名１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74954036/
祖原公園ハウス,2790,41,地下鉄七隈線,別府,20,2LDK,66.62,福岡県福岡市早良区祖原,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashisawara/nc_74689372/
ラインズマンション六本松　中古マンション,2990,38,地下鉄七隈線,桜坂,7,3LDK,70.29,福岡県福岡市中央区谷１,https://suumo.jp//ms/chuko/fukuoka/sc_fukuokashichuo/nc_74421962/
